STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       4466;2019120202:10;    1;   96.0;    0.0;    0.0;   0;   136.95;2019120203:00;eor
       4466;2019120203:10;    1;   96.0;    0.0;    0.0;   0;   129.16;2019120204:00;eor
       4466;2019120204:10;    1;   91.0;    0.0;    0.0;   0;   120.65;2019120205:00;eor
       4466;2019120205:11;    1;   89.0;    0.0;    0.0;   0;   111.97;2019120206:00;eor
       4466;2019120206:11;    1;   88.0;    0.0;    0.0;   0;   103.51;2019120207:00;eor
       4466;2019120207:11;    1;   90.0;    0.0;    0.0;   0;    95.62;2019120208:00;eor
       4466;2019120208:11;    1;  100.0;   11.0;   12.0;  14;    88.64;2019120209:00;eor
       4466;2019120209:11;    1;  116.0;   12.0;   12.0;   1;    82.94;2019120210:00;eor
       4466;2019120210:11;    1;  106.0;   32.0;   35.0;   8;    78.87;2019120211:00;eor
       4466;2019120211:11;    1;  100.0;   34.0;   55.0;  41;    76.74;2019120212:00;eor
       4466;2019120212:11;    1;   94.0;   33.0;   74.0;  58;    76.74;2019120213:00;eor
       4466;2019120213:11;    1;   90.0;   21.0;   50.0;  45;    78.88;2019120214:00;eor
       4466;2019120214:11;    1;   88.0;   15.0;   31.0;  55;    82.97;2019120215:00;eor
       4466;2019120215:11;    1;   92.0;    6.0;    8.0;  25;    88.68;2019120216:00;eor
       4466;2019120216:11;    1;   88.0;    0.0;    0.0;   0;    95.67;2019120217:00;eor
       4466;2019120217:11;    1;   88.0;    0.0;    0.0;   0;   103.56;2019120218:00;eor
       4466;2019120218:11;    1;   90.0;    0.0;    0.0;   0;   112.03;2019120219:00;eor
       4466;2019120219:11;    1;  104.0;    0.0;    0.0;   0;   120.72;2019120220:00;eor
       4466;2019120220:11;    1;  100.0;    0.0;    0.0;   0;   129.24;2019120221:00;eor
       4466;2019120221:11;    1;  105.0;    0.0;    0.0;   0;   137.05;2019120222:00;eor
       4466;2019120222:11;    1;   95.0;    0.0;    0.0;   0;   143.35;2019120223:00;eor
       4466;2019120223:11;    1;  107.0;    0.0;    0.0;   0;   147.00;2019120300:00;eor
       4466;2019120300:11;    1;   -999;    0.0;    0.0;   0;   147.00;2019120301:00;eor
       4466;2019120301:11;    1;   90.0;    0.0;    0.0;   0;   143.36;2019120302:00;eor
       4466;2019120302:11;    1;   91.0;    0.0;    0.0;   0;   137.08;2019120303:00;eor
       4466;2019120303:11;    1;   98.0;    0.0;    0.0;   0;   129.27;2019120304:00;eor
       4466;2019120304:11;    1;  107.0;    0.0;    0.0;   0;   120.76;2019120305:00;eor
       4466;2019120305:11;    1;  116.0;    0.0;    0.0;   0;   112.08;2019120306:00;eor
       4466;2019120306:11;    1;  116.0;    0.0;    0.0;   0;   103.63;2019120307:00;eor
       4466;2019120307:11;    1;  116.0;    0.0;    0.0;   0;    95.74;2019120308:00;eor
       4466;2019120308:11;    1;  120.0;    4.0;    4.0;   0;    88.77;2019120309:00;eor
       4466;2019120309:11;    1;  119.0;   13.0;   13.0;   0;    83.07;2019120310:00;eor
       4466;2019120310:11;    1;  122.0;   31.0;   31.0;   0;    79.01;2019120311:00;eor
       4466;2019120311:11;    1;  123.0;   28.0;   28.0;   0;    76.88;2019120312:00;eor
       4466;2019120312:11;    1;  123.0;   18.0;   18.0;   0;    76.89;2019120313:00;eor
       4466;2019120313:11;    1;  124.0;   10.0;   10.0;   0;    79.02;2019120314:00;eor
       4466;2019120314:11;    1;  125.0;    6.0;    6.0;   0;    83.10;2019120315:00;eor
       4466;2019120315:11;    1;  125.0;    1.0;    1.0;   0;    88.81;2019120316:00;eor
       4466;2019120316:11;    1;  124.0;    0.0;    0.0;   0;    95.79;2019120317:00;eor
       4466;2019120317:11;    1;  125.0;    0.0;    0.0;   0;   103.68;2019120318:00;eor
       4466;2019120318:11;    1;  125.0;    0.0;    0.0;   0;   112.14;2019120319:00;eor
       4466;2019120319:11;    1;  125.0;    0.0;    0.0;   0;   120.83;2019120320:00;eor
       4466;2019120320:11;    1;  125.0;    0.0;    0.0;   0;   129.35;2019120321:00;eor
       4466;2019120321:11;    1;  124.0;    0.0;    0.0;   0;   137.17;2019120322:00;eor
       4466;2019120322:11;    1;  124.0;    0.0;    0.0;   0;   143.48;2019120323:00;eor
       4466;2019120323:11;    1;  124.0;    0.0;    0.0;   0;   147.14;2019120400:00;eor
       4466;2019120400:11;    1;  124.0;    0.0;    0.0;   0;   147.15;2019120401:00;eor
       4466;2019120401:11;    1;  123.0;    0.0;    0.0;   0;   143.49;2019120402:00;eor
       4466;2019120402:11;    1;  123.0;    0.0;    0.0;   0;   137.20;2019120403:00;eor
       4466;2019120403:11;    1;  124.0;    0.0;    0.0;   0;   129.39;2019120404:00;eor
       4466;2019120404:11;    1;  123.0;    0.0;    0.0;   0;   120.87;2019120405:00;eor
       4466;2019120405:11;    1;  123.0;    0.0;    0.0;   0;   112.19;2019120406:00;eor
       4466;2019120406:11;    1;  123.0;    0.0;    0.0;   0;   103.74;2019120407:00;eor
