1379;202001010000;2.4
1379;202001010100;2.8
1379;202001010200;3.9
1379;202001010300;4.4
1379;202001010400;4.6
1379;202001010500;4.7
1379;202001010600;5
1379;202001010700;4.3
1379;202001010800;4.5
1379;202001010900;4.5
1379;202001011000;5.3
1379;202001011100;5
1379;202001011200;5.2
1379;202001011300;5.6
1379;202001011400;4.9
1379;202001011500;5.4
1379;202001011600;5.3
1379;202001011700;5.7
1379;202001011800;4.4
1379;202001011900;4.6
1379;202001012000;4.1
1379;202001012100;4.8
1379;202001012200;4.5
1379;202001012300;4.4
1379;202001020000;5.2
1379;202001020100;4.1
1379;202001020200;5.1
1379;202001020300;4.5
1379;202001020400;4.3
1379;202001020500;5.1
1379;202001020600;5.4
1379;202001020700;5
1379;202001020800;4.6
1379;202001020900;5.8
1379;202001021000;5.5
1379;202001021100;5.2
1379;202001021200;4.9
1379;202001021300;4.3
1379;202001021400;5.6
1379;202001021500;5.8
1379;202001021600;5.7
1379;202001021700;5.5
1379;202001021800;5.8
1379;202001021900;6.3
1379;202001022000;6
1379;202001022100;6.5
1379;202001022200;6.9
1379;202001022300;6.7
1379;202001030000;6.7
1379;202001030100;7.4
1379;202001030200;8
1379;202001030300;8.4
1379;202001030400;8.1
1379;202001030500;7.7
1379;202001030600;7.2
1379;202001030700;7
1379;202001030800;7.4
1379;202001030900;7.4
1379;202001031000;7.2
1379;202001031100;6.1
1379;202001031200;5.5
1379;202001031300;4.8
1379;202001031400;4.7
1379;202001031500;2.6
1379;202001031600;2.1
1379;202001031700;3.5
1379;202001031800;3.4
1379;202001031900;3.7
1379;202001032000;4
1379;202001032100;5
1379;202001032200;5.4
1379;202001032300;6
1379;202001040000;6.2
1379;202001040100;6.6
1379;202001040200;6.3
1379;202001040300;7.1
1379;202001040400;8.4
1379;202001040500;8.3
1379;202001040600;8.4
1379;202001040700;9.3
1379;202001040800;9.7
1379;202001040900;10.8
1379;202001041000;7
1379;202001041100;6.3
1379;202001041200;7.5
1379;202001041300;7.4
1379;202001041400;7.3
1379;202001041500;7.7
1379;202001041600;6.5
1379;202001041700;6.5
1379;202001041800;5.7
1379;202001041900;4.5
1379;202001042000;3.4
1379;202001042100;1.5
1379;202001042200;1.6
1379;202001042300;2.3
1379;202001050000;1.6
